variable	value	Var1	Tissue
T)T_CD4	130.674002751032	SG_T_CD4	SG
T)T_CD4	138.528138528139	SMITN_T_CD4	SMITN
T)T_CD4	131.578947368421	THY_T_CD4	THY
T)T_CD4_CD8	164.749766863537	LLN_T_CD4_CD8	LLN
T)T_CD8	95.0508030154048	BLD_T_CD8	BLD
T)T_CD8	124.34554973822	LARITN_T_CD8	LARITN
T)T_CD8	92.6283288305674	LN_T_CD8	LN
T)T_CD8	93.0405656866394	SG_T_CD8	SG
T)T_CD8	113.599480688088	SMITN_T_CD8	SMITN
T)Tcell	100.603621730382	BLD_Tcell	BLD
T)Tcell	93.5499753815854	BLR_Tcell	BLR
T)Tcell	115.149334292911	BMA_Tcell	BMA
T)Tcell	133.988387673068	FAT_Tcell	FAT
T)Tcell	121.57268494568	JEJEPI_Tcell	JEJEPI
T)Tcell	76.080340839927	JEJLP_Tcell	JEJLP
T)Tcell	95.0196592398427	LARITN_Tcell	LARITN
T)Tcell	125.12030798845	LIV_Tcell	LIV
T)Tcell	92.6998841251448	LLN_Tcell	LLN
T)Tcell	110.480740519558	LN_Tcell	LN
T)Tcell	65.1607298001738	LNG_Tcell	LNG
T)Tcell	71.9712115153938	MG_Tcell	MG
T)Tcell	101.668404588113	MLN_Tcell	MLN
T)Tcell	58.9569160997732	PRS_Tcell	PRS
T)Tcell	94.7521865889213	SG_Tcell	SG
T)Tcell	79.9041150619257	SKN_Tcell	SKN
T)Tcell	121.760849203871	SMITN_Tcell	SMITN
T)Tcell	159.779614325069	SPL_Tcell	SPL
T)Tcell	154.933405816798	THY_Tcell	THY
T)Tfh	70.6214689265537	LLN_Tfh	LLN
T)Tfh	59.9747474747475	MLN_Tfh	MLN
T)Tfh	78.9835164835165	SPL_Tfh	SPL
T)Tgd_CRTAM+	65.5933214072749	BMA_Tgd_CRTAM+	BMA
T)Tgd_CRTAM+	61.2557427258806	LIV_Tgd_CRTAM+	LIV
T)Tgd_CRTAM+	91.5240748109829	SPL_Tgd_CRTAM+	SPL
T)Tgd_Trm	107.843137254902	JEJEPI_Tgd_Trm	JEJEPI
T)Tgd_Trm	157.626332869726	JEJLP_Tgd_Trm	JEJLP
T)Thymocyte_DN3	49.2287495897604	THY_Thymocyte_DN3	THY
T)Tmemory_CD4	68.661108386464	BLD_Tmemory_CD4	BLD
T)Tmemory_CD4	105.960264900662	BMA_Tmemory_CD4	BMA
T)Tmemory_CD4	71.2830957230143	LLN_Tmemory_CD4	LLN
T)Tmemory_CD4	79.7130330809087	LN_Tmemory_CD4	LN
T)Tmemory_CD4	77.9220779220779	SPL_Tmemory_CD4	SPL
T)Tmemory_CD8	80.8988764044944	BLD_Tmemory_CD8	BLD
T)Tmemory_CD8	102.189781021898	BMA_Tmemory_CD8	BMA
T)Tmemory_CD8	86.7507886435331	JEJEPI_Tmemory_CD8	JEJEPI
T)Tmemory_CD8	84.6629762292413	JEJLP_Tmemory_CD8	JEJLP
T)Tmemory_CD8	85.4037267080745	LIV_Tmemory_CD8	LIV
T)Tmemory_CD8	49.8640072529465	LLN_Tmemory_CD8	LLN
T)Tmemory_CD8	60.9756097560976	LNG_Tmemory_CD8	LNG
T)Tmemory_CD8	90.4636260836789	MLN_Tmemory_CD8	MLN
T)Tmemory_CD8	127.684271619269	SPL_Tmemory_CD8	SPL
T)Tnaive_CD4	93.2598558711318	LN_Tnaive_CD4	LN
T)Tnaive_CD4	102.711585866886	SPL_Tnaive_CD4	SPL
T)Tnaive_cm_CD4	64.9614291514413	BLD_Tnaive_cm_CD4	BLD
T)Tnaive_cm_CD4	91.869545245751	BMA_Tnaive_cm_CD4	BMA
T)Tnaive_cm_CD4	83.5820895522388	LLN_Tnaive_cm_CD4	LLN
T)Tnaive_cm_CD4	74.0969435010806	MLN_Tnaive_cm_CD4	MLN
T)Tnaive_cm_CD4	82.1428571428571	SPL_Tnaive_cm_CD4	SPL
T)Tnaive_cm_CD8	81.0810810810811	BLD_Tnaive_cm_CD8	BLD
T)Tnaive_cm_CD8	58.3744948361024	LLN_Tnaive_cm_CD8	LLN
T)Tnaive_cm_CD8	49.5049504950495	MLN_Tnaive_cm_CD8	MLN
T)Treg	109.011627906977	LLN_Treg	LLN
T)Treg	72.5075528700906	MLN_Treg	MLN
T)Treg	141.585760517799	SPL_Treg	SPL
T)Trm_Th1_Th17	97.1599402092676	JEJEPI_Trm_Th1_Th17	JEJEPI
T)Trm_Th1_Th17	71.9874804381847	JEJLP_Trm_Th1_Th17	JEJLP
T)Trm_Th1_Th17	38.4615384615385	LNG_Trm_Th1_Th17	LNG
Br)Vip	173.913043478261	M1_Vip	M1
Br)Vip	133.074577210979	MTG_Vip	MTG
