"Term"	"minus_log10_qval_diff"
"ErbB signaling pathway"	7.57367192070683
"Glioma"	7.56187775359322
"cAMP signaling pathway"	7.19069917309134
"Neurotrophin signaling pathway"	6.96106523767634
"HIF-1 signaling pathway"	6.80997539413132
"Proteoglycans in cancer"	6.02403387297089
"Long-term potentiation"	5.86810590038902
"GnRH signaling pathway"	5.47030531755379
"Melanogenesis"	5.36103117905137
"Pathways in cancer"	4.95994713079219
