PKHD1L1
C11orf80
EIF2AK3
CDK14
FCRL2
C11orf24
MOXD1
PLPP5
FAM3C
SLC17A9
CARMIL1
COL9A3
RAB30
ALDH18A1
CPNE5
POU2AF1
CLECL1
FCRL5
NBEA
SLC35F2
DUSP22
LRRK1
SYVN1
TSPAN13
SETBP1
PAOX
FBXO10
PIP5K1B
DENND5B
E2F5
IRF4
GAB1
TCTN1
TPD52
EAF2
HLA-DOB
TNFRSF13B
LAMA5
COL4A4
PNOC
SEL1L3
STAP1
UGT8
TOR3A
