"Term"	"minus_log10_qval_diff"
"Cholinergic synapse"	8.59842914302182
"Prion disease"	-8.81150517900684
"Alzheimer disease"	-8.84436370678118
"Amyotrophic lateral sclerosis"	-9.04095994764775
"Huntington disease"	-9.52869693547913
"Parkinson disease"	-10.0621009633313
"Diabetic cardiomyopathy"	-10.5612492669104
"Non-alcoholic fatty liver disease"	-11.0945691631625
"Thermogenesis"	-12.047312293037
"Oxidative phosphorylation"	-13.7157944074076
